ID  | Name             | Type                     | Reading    | Units | Event
138 | Power Cable      | Cable/Interconnect       | N/A        | N/A   | 'Cable/Interconnect is connected'
139 | Signal Cable     | Cable/Interconnect       | N/A        | N/A   | 'Cable/Interconnect is connected'
140 | PFault Fail Safe | Voltage                  | N/A        | N/A   | N/A
141 | ROMB Battery     | Battery                  | N/A        | N/A   | 'OK'
142 | ROMB Battery     | Battery                  | N/A        | N/A   | N/A
143 | Dedicated NIC    | Entity Presence          | N/A        | N/A   | 'Entity Present'
144 | Riser 1 Presence | Cable/Interconnect       | N/A        | N/A   | 'Cable/Interconnect is connected'
145 | Riser 2 Presence | Cable/Interconnect       | N/A        | N/A   | 'Cable/Interconnect is connected'
146 | Riser 3 Presence | Cable/Interconnect       | N/A        | N/A   | 'Cable/Interconnect is connected'
147 | Temp             | Temperature              | 55.00      | C     | 'OK'
148 | Temp             | Temperature              | 55.00      | C     | 'OK'
